id,title,budget_clean,revenue_clean,roi
11637,Are We There Yet?,32000000,97918663,3.059958219
20856,Aliens in the Attic,45000000,57881056,1.286245689
118,Charlie and the Chocolate Factory,150000000,474968763,3.16645842
9607,Super Mario Bros.,48000000,20915465,0.435738854
17834,A Simple Wish,28000000,8345056,0.298037714
10488,Nim's Island,37000000,100076342,2.704766
9354,"Honey, I Shrunk the Kids",32000000,222724172,6.960130375
196,Back to the Future Part III,40000000,244527583,6.113189575
7453,The Hitchhiker's Guide to the Galaxy,50000000,104478416,2.08956832
165,Back to the Future Part II,40000000,332000000,8.3
11158,Honey I Blew Up the Kid,40000000,58662452,1.4665613
11459,Sky High,35000000,86369815,2.467709
11774,Lemony Snicket's A Series of Unfortunate Events,140000000,209073645,1.493383179
14405,Beverly Hills Chihuahua,20000000,149281606,7.4640803
181533,Night at the Museum: Secret of the Tomb,127000000,349424282,2.751372299
9447,Babe: Pig in the City,90000000,69131860,0.768131778
10188,The Sisterhood of the Traveling Pants 2,27000000,44352417,1.642682111
116745,The Secret Life of Walter Mitty,90000000,188133322,2.090370244
5172,The Astronaut Farmer,13000000,11130889,0.856222231
962,The Gold Rush,923000,2500000,2.708559047
232572,A Walk in the Woods,8000000,35991087,4.498885875
14064,Ten Canoes,2000000,300000,0.15
5769,Tom Jones,1000000,37600000,37.6
49375,Rough Cut,14000000,16656125,1.189723214
105,Back to the Future,19000000,381109762,20.05840853
18162,Land of the Lost,100000000,68688831,0.68688831
39513,Paul,40000000,97552050,2.43880125
7512,Idiocracy,30000000,495303,0.0165101
9290,Crocodile Dundee in Los Angeles,21150000,39438674,1.864712719
9671,Crocodile Dundee,5000000,328203506,65.6407012
5683,Pee-wee's Big Adventure,6000000,40940662,6.823443667
9896,Rat Race,48000000,85498534,1.781219458
16124,Goodbye Pork Pie,300000,1400000,4.666666667
11040,Little Big Man,15000000,31559552,2.103970133
995,Stagecoach,531374,1103757,2.077175398
74,War of the Worlds,132000000,591739379,4.482874083
2989,Roar,17000000,2000000,0.117647059
580,Jaws: The Revenge,23000000,51881013,2.255696217
830,Forbidden Planet,1900000,3250000,1.710526316
11884,The Last Starfighter,15000000,28733290,1.915552667
262500,Insurgent,110000000,295238201,2.683983645
1685,Beneath the Planet of the Apes,3000000,18999718,6.333239333
26978,Spacehunter: Adventures in the Forbidden Zone,15000000,16500000,1.1
299687,The 5th Wave,38000000,109906372,2.892272947
13001,Stargate: The Ark of Truth,7000000,8900000,1.271428571
262504,Allegiant,110000000,179246868,1.629516982
2161,Fantastic Voyage,5115000,12000000,2.346041056
47890,Sphinx,14000000,439564,0.031397429
57165,Wrath of the Titans,150000000,301000000,2.006666667
9266,Blue Crush,25000000,51842679,2.07370716
10448,Rapa Nui,20000000,305070,0.0152535
11780,Rob Roy,28000000,31596911,1.128461107
13888,Return to the Blue Lagoon,11000000,2807854,0.255259455
12837,The Secret Life of Bees,11000000,38105395,3.464126818
8367,Robin Hood: Prince of Thieves,48000000,390493908,8.13528975
2119,Days of Thunder,60000000,157920733,2.632012217
10586,The Ghost and the Darkness,50000000,75000000,1.5
8915,Amelia,40000000,19258519,0.481462975
11231,The Next Karate Kid,12000000,15826984,1.318915333
15668,Xanadu,20000000,22471595,1.12357975
59964,Cabin in the Sky,662141,1606624,2.426407668
14191,Aquamarine,12000000,23006849,1.917237417
11319,The Rescuers,1200000,71215869,59.3465575
77931,The Smurfs 2,105000000,347434178,3.308896933
68728,Oz: The Great and Powerful,200000000,491868548,2.45934274
19051,The New Adventures of Pippi Longstocking,5000000,3569939,0.7139878
